指标,均值,标准差,最小值,最大值,中位数,变异系数
bertscore_f1,0.6155493308197368,0.09637019608206661,0.5301676332950592,0.8844874143600464,0.6037053942680359,0.15655966346958558
bertscore_precision,0.5435611670667475,0.11535563248563792,0.4472216069698334,0.8688623309135437,0.5280508518218994,0.21222198986020027
bertscore_recall,0.7180791638114236,0.08098299034350004,0.6449103474617004,0.9048223495483398,0.6924469470977783,0.1127772457756025
bleu_1,0.09168443925538729,0.20143204880909496,0.0,0.6895117166372369,0.0266988256494997,2.1970145691572087
bleu_2,0.08452305503269081,0.18810753486479212,0.0,0.6428478468635526,0.0225824477734668,2.225517461384212
bleu_4,0.06938567888483947,0.15869334370957863,0.0,0.5407343073900355,0.017129022582424,2.2871195650180858
chrf,0.12000600950892504,0.13887329831428538,1e-16,0.5173411173060327,0.08721201778424,1.1572195332764328
edit_distance,,,,,,
edit_similarity,,,,,,
length_ratio,18.864660770316803,7.925300921529425,2.7765084403048346,26.91281926627632,22.365209594223384,0.4201136197476575
normalized_edit_distance,,,,,,
