评分指标 \ 模型,deepseek_8b_ol_q4km,gemma_2b_hf_4bit,gemma_2b_hf_8bit,gemma_4b_ol_q4km,phi3_4b_hf_4bit,phi3_4b_hf_8bit,qwen25_3b_hf_4bit,qwen25_3b_hf_8bit,qwen25_7b_hf_4bit,qwen_4b_ol_q4km,qwen_8b_ol_q4km
bertscore_f1,0.8844874143600464,0.6080345988273621,0.6037053942680359,0.5301676332950592,0.6451825857162475,0.6318673729896546,0.5855858445167541,0.6164355874061584,0.5510371327400208,0.5518026709556579,0.5627364039421081
bertscore_precision,0.8688623309135437,0.5694005250930786,0.5563989877700806,0.4472216069698334,0.5481301784515381,0.5309916853904724,0.5083504319190979,0.5280508518218994,0.4494810879230499,0.48223775029182436,0.49004740118980405
bertscore_recall,0.9048223495483398,0.6538698196411132,0.6602398514747619,0.6526193141937255,0.7886756181716919,0.7827550053596497,0.6924469470977783,0.7418449997901917,0.7152267336845398,0.6449103474617004,0.6614598155021667
bleu_1,0.6895117166372369,0.0,0.0,0.03507057086234429,0.1330640147965106,0.027939802563701176,0.02514144469906172,0.02669882564949972,0.028605228028103558,0.019530978036809383,0.02296625053599338
bleu_2,0.6428478468635526,0.0,0.0,0.030540346167515043,0.12344902561985154,0.025172447891306043,0.0218209429773988,0.02258244777346684,0.02638109072689282,0.01680675675591064,0.02015270058370506
bleu_4,0.5407343073900355,0.0,0.0,0.023044935125909598,0.100808871888275,0.019707572038538818,0.017129022582424058,0.01672201411991666,0.0216318337623762,0.01069515126137184,0.0127687595643867
chrf,0.5173411173060327,1.0000000000000001e-16,1.0000000000000001e-16,0.13761718894121908,0.12064034502008045,0.10147544484634156,0.08721201778424004,0.07755278740743789,0.10927651531175113,0.0824481435985317,0.08650254438254108
edit_distance,,,,,,,,,,,
edit_similarity,,,,,,,,,,,
length_ratio,2.7765084403048346,10.798282237380857,11.76380849973639,15.639263599602945,16.889365403066357,22.365209594223384,25.312998577950857,26.10537209344208,22.81238184579648,26.91281926627632,26.135258915704306
normalized_edit_distance,,,,,,,,,,,
